sentence_id	token	label
19	Any	O
19	overture	O
19	of	O
19	something	O
19	that	O
19	's	O
19	kind	O
19	of	O
19	like	O
19	a	O
19	little	O
19	white	O
19	flag	O
19	or	O
19	peace	O
19	offering	O
19	to	O
19	just	O
19	get	O
19	a	O
19	week	O
19	of	O
19	peace	O
19	I	O
19	'm	O
19	not	O
19	talking	O
19	about	O
19	permanent	O
19	I	O
19	'm	O
19	going	O
19	to	O
19	placate	O
19	and	O
19	cow	O
19	tow	O
19	to	O
19	you	O
19	and	O
19	to	O
19	talk	O
19	my	O
19	needs	O
19	in	O
19	other	O
19	...	O
19	No	O
19	.	O
19	Just	O
19	talking	O
19	about	O
19	lets	O
19	...	O
23	Yeah	O
23	I	O
23	imagine	O
23	it	O
23	would	O
23	sorry	O
23	go	O
23	ahead	O
23	.	O
23	So	O
23	it	O
23	's	O
23	supposed	O
23	to	O
23	work	O
23	immediately	O
23	right	O
23	Yep	O
23	.	O
23	So	O
23	we	O
23	'll	O
23	see	O
23	if	O
23	I	O
23	'm	O
23	productive	O
23	tomorrow	B-date
23	.	O
23	I	O
23	hope	O
23	I	O
23	'm	O
23	productive	O
23	today	B-date
23	.	O
23	I	O
23	've	O
23	actually	O
23	been	O
23	trying	O
23	to	O
23	plan	O
23	.	O
23	If	O
23	I	O
23	do	O
23	the	O
23	titles	O
23	today	O
23	then	O
23	I	O
23	can	O
23	do	O
23	my	O
23	laundry	O
23	tomorrow	B-date
23	.	O
23	Right	O
23	.	O
23	I	O
23	probably	O
23	could	O
23	bring	O
23	my	O
23	computer	O
23	and	O
23	do	O
23	titles	O
23	while	O
23	I	O
23	'm	O
23	doing	O
23	my	O
23	laundry	O
23	.	O
23	If	O
23	I	O
23	was	O
23	but	O
23	I	O
23	wo	O
23	n't	O
23	do	O
23	that	O
23	.	O
121	It	O
121	makes	O
121	it	O
121	really	O
121	hard	O
121	when	O
121	I	O
121	lose	O
121	things	O
121	.	O
121	Even	O
121	this	O
121	morning	O
121	he	O
121	knocked	O
121	over	O
121	my	O
121	glasses	O
121	.	O
121	I	O
121	had	O
121	them	O
121	on	O
121	the	O
121	dresser	O
121	and	O
121	he	O
121	was	O
121	trying	O
121	to	O
121	find	O
121	them	O
121	this	O
121	morning	O
121	because	O
121	I	O
121	ca	O
121	n't	O
121	see	O
121	anything	O
121	without	O
121	my	O
121	glasses	O
121	.	O
121	He	O
121	was	O
121	like	O
121	Are	O
121	you	O
121	sure	O
121	you	O
121	did	O
121	n't	O
121	put	O
121	them	O
121	somewhere	O
121	else	O
121	and	O
121	I	O
121	'm	O
121	like	O
121	Yes	O
121	I	O
121	put	O
121	them	O
121	in	O
121	one	O
121	of	O
121	two	O
121	places	O
121	.	O
121	They	O
121	are	O
121	in	O
121	neither	O
121	.	O
121	I	O
121	heard	O
121	you	O
121	knock	O
121	them	O
121	over	O
121	last	B-time
121	night	I-time
121	when	O
121	you	O
121	came	O
121	back	O
121	and	O
121	the	O
